coupling,T,S3/T,r_c,phi_esc
1.08,7120.0,230.61262612308423,0.0028973688247928915,16862.56124579099
1.08,7140.0,242.37677220925013,0.0028520331843605953,17422.959267713595
1.08,7160.0,254.19270572020625,0.0028084153692607416,17973.18353764042
1.08,7180.0,266.07222257496903,0.002768757377893977,18514.305454907415
1.08,7200.0,278.0467901390896,0.002733776153618947,19048.757023741695
1.08,7220.0,290.08525246054853,0.0027002031142006806,19574.448131712517
1.08,7240.0,302.20654777855475,0.0026693789348092006,20093.56017089731
1.08,7260.0,314.4185712641157,0.0026403206375168564,20606.742312307993
1.08,7280.0,326.70992989884644,0.002612562279383893,21113.41281120469
1.08,7300.0,339.1070165780466,0.0025872712225623457,21615.667304821778
1.08,7320.0,351.6070341591771,0.00256410085869745,22113.591658752062
1.08,7340.0,364.19162957672563,0.002541007109769204,22605.93277145963
1.08,7360.0,376.88555663968384,0.0025201454674265316,23094.754098592224
1.08,7380.0,389.6818091102183,0.0024998024475158414,23579.551523525515
1.08,7400.0,402.5925362548608,0.002481583132167962,24061.526869940324
1.08,7420.0,415.5998101319683,0.0024631823083795528,24539.164530693553
1.08,7440.0,428.7283015477535,0.0024465595881051775,25014.551669675202
1.08,7460.0,441.9692942510535,0.002430514530767031,25487.028175603904
1.08,7480.0,455.31194877323543,0.002414611509560698,25955.852888623747
1.08,7500.0,468.78083932404246,0.0024004255029431137,26423.11355955848
1.08,7520.0,482.3704888052357,0.0023863888651781072,26888.08268630928
1.08,7540.0,496.03042625314185,0.002372457838498405,27350.93102547583
1.08,7560.0,509.84900320264325,0.0023600666209307717,27811.819634058003
1.08,7580.0,523.7750988892691,0.0023471684925049892,28269.893749928146
1.08,7600.0,537.8417864681903,0.002336132113043786,28727.312735159518
1.08,7620.0,552.0154943501719,0.0023244655981019243,29182.17889301706
1.08,7640.0,566.3156286420925,0.0023133253540938573,29635.614031796402
1.08,7660.0,580.7496857858865,0.0023035035570351126,30088.289346959617
1.08,7680.0,595.30340438133,0.0022935309941821904,30539.256252669788
1.08,7700.0,609.9807156944676,0.0022833716083200833,30988.605202569524
1.08,7720.0,624.7935430781938,0.00227477902954708,31437.511086026134
1.08,7740.0,639.7241577026725,0.002265048986921265,31884.430710248867
1.08,7760.0,654.8039591934548,0.002257029260924822,32331.650532337095
1.08,7780.0,669.9999113824575,0.0022488327012066124,32777.03368045224
1.08,7800.0,685.3317798808516,0.002240799275048741,33221.76728610114
1.08,7820.0,700.7775227376195,0.0022322127973918504,33664.77869487606
1.08,7840.0,716.3826526760108,0.002225575466815123,34108.41974649689
1.08,7860.0,732.1046022450709,0.002217741125541735,34550.45963743551
1.08,7880.0,747.9648753383158,0.0022105769533799714,34992.10370973925
1.08,7900.0,763.9651860985937,0.0022038254057063864,35433.41405096801
1.08,7920.0,780.1082994431574,0.0021977933135195445,35874.44643733155
1.08,7940.0,796.3880758085446,0.0021914862552866975,36315.25202770863
1.08,7960.0,812.7904060784275,0.002185310949313919,36754.67604089683
1.08,7980.0,829.3361305978116,0.0021792109287954277,37193.95430682189
1.08,8000.0,846.0243158826328,0.0021733996838994786,37633.130948112674
1.08,8020.0,862.8581657997813,0.002167837096495995,38072.24918626924
1.08,8040.0,879.820228368955,0.0021623867311887507,38510.4172035959
1.08,8060.0,896.9337539356187,0.002157007748154338,38948.90124254099
1.08,8080.0,914.1799163305978,0.0021518612519168066,39386.80207830507
1.08,8100.0,931.5752298099146,0.002146742303800427,39824.76872164015
1.08,8120.0,949.1053864629484,0.0021414893709268685,40262.19944888551
1.08,8140.0,966.7962579984082,0.00213708146404673,40700.38383715923
1.08,8160.0,984.6221574189439,0.002132513023492727,41138.076790822735
1.08,8180.0,1002.5844809539083,0.0021276913310528563,41575.29376983445
1.09,6740.0,27.240236452386505,0.009952845366274886,3194.207999453516
1.09,6760.0,46.45330554490404,0.006532519934177997,5121.189007287219
1.09,6780.0,61.77112510460552,0.005380069868330044,6477.923503019076
1.09,6800.0,75.43251003766379,0.0047537827911018,7595.044329353463
1.09,6820.0,88.28872602571934,0.004346993355226429,8570.422758335437
1.09,6840.0,100.58859734466165,0.004055842335431053,9454.513121566793
1.09,6860.0,112.5665871740095,0.003833940149009036,10270.50963952238
1.09,6880.0,124.31714628732514,0.0036565110520122195,11033.956096033333
1.09,6900.0,135.89540975448637,0.0035135775528818344,11758.396667242385
1.09,6920.0,147.39381189487457,0.00339167848148056,12449.82921181753
1.09,6940.0,158.8296354985372,0.00328946820069185,13113.736955361077
1.09,6960.0,170.22435831655875,0.003200296169573181,13754.40499666553
1.09,6980.0,181.59965448738743,0.003120950185123938,14373.979819910033
1.09,7000.0,193.0059707470522,0.0030528400842484613,14977.72624618694
1.09,7020.0,204.43652742116225,0.0029910550571356927,15566.475213231242
1.09,7040.0,215.8832335433487,0.00293437466001849,16140.390930714697
1.09,7060.0,227.3910624810612,0.0028852405247431407,16703.650585840776
1.09,7080.0,238.95374543554797,0.002839199206242736,17255.814292045965
1.09,7100.0,250.57972554877696,0.0027973280187319626,17798.767491786668
1.09,7120.0,262.26680538161736,0.002758934356459319,18332.903364301805
1.09,7140.0,274.03049728937486,0.0027232610156422265,18859.13725240073
1.09,7160.0,285.87772640563577,0.002690341165816024,19378.27511117293
1.09,7180.0,297.80141529755485,0.0026596954331348406,19890.281428486647
1.09,7200.0,309.81389657898285,0.002630587560470663,20396.51383469686
1.09,7220.0,321.9221204655709,0.0026044896319417834,20897.58848657091
1.09,7240.0,334.1261181997493,0.0025794080320072606,21393.587511264937
1.09,7260.0,346.42220040082225,0.0025559580713608184,21884.5773619768
1.09,7280.0,358.81952421723014,0.0025336756065137927,22371.367866748915
1.09,7300.0,371.321859884348,0.0025127635944429062,22854.339843675392
1.09,7320.0,383.9186855627121,0.0024924343778462473,23332.94759499519
1.09,7340.0,396.6337423793176,0.0024742342901953843,23808.82388365538
1.09,7360.0,409.45235372339994,0.0024566847620566073,24281.372663619404
1.09,7380.0,422.38288996818693,0.0024396617776084005,24750.85210615638
1.09,7400.0,435.4219448902041,0.002423300262264041,25217.48981187612
1.09,7420.0,448.57691762419677,0.0024081826760944283,25681.505939216833
1.09,7440.0,461.8314607942928,0.0023935544458428817,26144.059386618654
1.09,7460.0,475.2096613838611,0.002379655244919511,26603.439813548277
