lambda,T,S3/T,r_c,phi_esc,Gamma_H4
0.4,17673.49999999962,179.23714064007686,0.32417236510396646,61974.34764284417,6.390705561635821e-41
0.4,17673.47499999962,178.62817049911197,0.309533262535609,62001.61841029189,1.1689653499561057e-40
0.4,17673.44999999962,178.02247288427841,0.3081714242852414,62028.8847407664,2.131265876286527e-40
0.4,17673.424999999617,177.41459359316391,0.38031389497731766,62055.85095477573,3.89408621775526e-40
0.4,17673.399999999616,176.7977672091455,0.3818216110846917,62083.393030821324,7.178249564659815e-40
0.4,17673.374999999614,176.1776188819161,0.3827759052851514,62111.02963341364,1.3275596149378194e-39
0.4,17673.349999999613,175.5506909788739,0.38320901297516535,62138.76041154544,2.4717276439765567e-39
0.4,17673.32499999961,174.9445426408064,0.3085067445634246,62166.01969995868,4.5080821343306467e-39
0.4,17673.29999999961,174.32279109450218,0.31011924330214524,62193.87593116238,8.350130936393484e-39
0.4,17673.27499999961,173.69457331802607,0.32489433161088815,62221.90021596076,1.5565764694827736e-38
0.4,17673.249999999607,173.06176082929366,0.39140542547610147,62250.080406975205,2.914857161462438e-38
0.4,17673.224999999606,172.42688242122253,0.39314146096242697,62278.296731463335,5.469464354250236e-38
0.4,17673.199999999604,171.79134314218973,0.3467276931552175,62306.61577511756,1.0269469033926827e-37
0.4,17673.174999999603,171.1557945394922,0.3330269679313493,62334.988893823494,1.9281742601523494e-37
0.4,17673.1499999996,170.51333475653075,0.3995259201807459,62363.134378683535,3.645110295452598e-37
0.4,17673.1249999996,169.87495312779532,0.4020341479329992,62391.6292073695,6.862942149566762e-37
0.4,17673.0999999996,169.23899529016205,0.31866317817119083,62419.810800683335,1.2890135809354818e-36
0.4,17673.074999999597,168.59544785447446,0.3183368617232442,62448.61350495707,2.4392833123862897e-36
0.4,17673.049999999595,167.94700520795894,0.32219113467840577,62477.58642823672,4.6383602913540185e-36
0.4,17673.024999999594,167.2973291750798,0.32141869767947373,62506.63000452579,8.830552041672374e-36
0.4,17672.999999999593,166.64551951882876,0.33714512222790755,62535.78210221726,1.6846887848114497e-35
0.4,17672.97499999959,165.9851101981796,0.36020374755940976,62565.048585904195,3.241474320422786e-35
0.4,17672.94999999959,165.3227209739822,0.3752016477735873,62594.422663738726,6.248952637596829e-35
0.4,17672.924999999588,164.66496799597164,0.4199012625174341,62623.9096216638,1.1991300011803079e-34
0.4,17672.899999999587,163.99890186654696,0.4234759101580489,62653.51227096566,2.3200227570573495e-34
0.4,17672.874999999585,163.3169713409127,0.3603292898422811,62683.498406666164,4.5596763589318955e-34
0.4,17672.849999999584,162.65520572601164,0.34489389769968454,62713.068410013286,8.783906214158125e-34
0.4,17672.824999999582,161.9585469114467,0.43850902652609114,62743.55447453168,1.7516372336819162e-33
0.4,17672.79999999958,161.28522591092175,0.33954354217051724,62774.15406656238,3.413087157684499e-33
0.4,17672.77499999958,160.60572830163082,0.3812539251449843,62804.35281481554,6.691086585671e-33
0.4,17672.749999999578,159.92829091793456,0.338028529834027,62834.41919552897,1.3090248996232977e-32
0.4,17672.724999999577,159.24884462228025,0.37336793452239836,62865.12654860423,2.565970848071558e-32
0.4,17672.699999999575,158.56295810994516,0.3706248111606337,62895.7057748176,5.061907001002019e-32
0.4,17672.674999999574,157.87712253222963,0.374393906215743,62926.67339327521,9.984872093607883e-32
0.4,17672.649999999572,157.17608322647845,0.4617848335054967,62957.76682203335,1.9993942564842284e-31
0.4,17672.62499999957,156.49453791501216,0.34297856314673864,62988.49309190663,3.9269596031367595e-31
0.4,17672.59999999957,155.79048910923817,0.3548730184733515,63020.36089516735,7.886442162462586e-31
0.4,17672.574999999568,155.09790595302118,0.3574318267531248,63051.65825140084,1.5658898114916236e-30
0.4,17672.549999999566,154.3981404708089,0.36929831040565214,63082.98966974251,3.1312462663125636e-30
0.4,17672.524999999565,153.6996949075228,0.36192331923518445,63114.57746514825,6.2530547583220455e-30
0.4,17672.499999999563,152.98614462946563,0.3741374851304255,63146.197913457145,1.267504076778279e-29
0.4,17672.474999999562,152.27180933578322,0.3831192668725438,63178.01308931229,2.571164692184037e-29
0.4,17672.44999999956,151.562283493668,0.47758559207059875,63209.97809559774,5.190725272406919e-29
0.4,17672.42499999956,150.83467491823652,0.47966841992299386,63242.09405516186,1.066809939019317e-28
0.4,17672.399999999558,150.12443183269988,0.3626952205890876,63274.445500307454,2.1550856061935093e-28
0.4,17672.374999999556,149.3966018821172,0.3643509965248985,63306.78368344023,4.429845850033732e-28
0.4,17672.349999999555,148.66291728461715,0.36610845874352466,63339.36582448047,9.158286510532994e-28
0.4,17672.324999999553,147.93376752474973,0.3682066609126927,63372.09746669503,1.884839984013554e-27
0.4,17672.29999999955,147.19223821985975,0.37068059173159046,63404.9962119102,3.926815540274338e-27
0.4,17672.27499999955,146.45820327172703,0.3737683294894823,63438.05504713504,8.120234292568583e-27
0.4,17672.24999999955,145.7084482778046,0.37780362371316734,63471.276446928394,1.70544259653873e-26
0.4,17672.224999999547,144.9662671369003,0.38347479380467425,63504.65949365473,3.5549472176181885e-26
0.4,17672.199999999546,144.216428140726,0.39068702783975734,63538.20908393302,7.466263383795083e-26
0.4,17672.174999999545,143.44919111038118,0.39557259478034307,63572.466577477,1.5952645349092744e-25
