Step 8750000/1000000000 | t=2.19e+00 | T=7349.6 | a=1.000052 | H=2.41e-05 | 290.6 steps/s | 3.44 ms/step | ETA: 56851.8 min
Step 8800000/1000000000 | t=2.20e+00 | T=7349.6 | a=1.000053 | H=2.41e-05 | 291.1 steps/s | 3.44 ms/step | ETA: 56748.2 min
Step 8850000/1000000000 | t=2.21e+00 | T=7349.6 | a=1.000053 | H=2.41e-05 | 291.6 steps/s | 3.43 ms/step | ETA: 56646.6 min
Step 8900000/1000000000 | t=2.23e+00 | T=7349.6 | a=1.000053 | H=2.41e-05 | 292.1 steps/s | 3.42 ms/step | ETA: 56547.7 min
Step 8950000/1000000000 | t=2.24e+00 | T=7349.6 | a=1.000054 | H=2.41e-05 | 292.6 steps/s | 3.42 ms/step | ETA: 56451.1 min
Step 9000000/1000000000 | t=2.25e+00 | T=7349.6 | a=1.000054 | H=2.41e-05 | 293.1 steps/s | 3.41 ms/step | ETA: 56354.3 min
Step 9050000/1000000000 | t=2.26e+00 | T=7349.6 | a=1.000054 | H=2.41e-05 | 293.6 steps/s | 3.41 ms/step | ETA: 56257.2 min
Step 9100000/1000000000 | t=2.28e+00 | T=7349.6 | a=1.000054 | H=2.41e-05 | 294.0 steps/s | 3.40 ms/step | ETA: 56164.4 min
Step 9150000/1000000000 | t=2.29e+00 | T=7349.6 | a=1.000055 | H=2.41e-05 | 294.5 steps/s | 3.40 ms/step | ETA: 56071.6 min
Step 9200000/1000000000 | t=2.30e+00 | T=7349.6 | a=1.000055 | H=2.41e-05 | 295.0 steps/s | 3.39 ms/step | ETA: 55980.6 min
Step 9250000/1000000000 | t=2.31e+00 | T=7349.6 | a=1.000055 | H=2.41e-05 | 295.4 steps/s | 3.38 ms/step | ETA: 55891.6 min
Step 9300000/1000000000 | t=2.33e+00 | T=7349.6 | a=1.000056 | H=2.41e-05 | 295.9 steps/s | 3.38 ms/step | ETA: 55805.1 min
