Step 0/1000000 | t=0.00e+00 | T=15000.0 | a=1.000000 | H=2.41e-05 | 2.1 steps/s | 486.86 ms/step | ETA: 8114.4 min

*** phi threshold exceeded: max|phi|=10118.0 > 10000.0
*** Switching to dense snapshots: every 100 steps

Step 14600/1000000 | t=1.46e+00 | T=14999.5 | a=1.000035 | H=2.41e-05 | 12.5 steps/s | 80.27 ms/step | ETA: 1318.3 min
Step 14700/1000000 | t=1.47e+00 | T=14999.5 | a=1.000035 | H=2.41e-05 | 12.5 steps/s | 80.24 ms/step | ETA: 1317.6 min
Step 14800/1000000 | t=1.48e+00 | T=14999.5 | a=1.000036 | H=2.41e-05 | 12.5 steps/s | 80.22 ms/step | ETA: 1317.3 min
Step 14900/1000000 | t=1.49e+00 | T=14999.5 | a=1.000036 | H=2.41e-05 | 12.5 steps/s | 80.18 ms/step | ETA: 1316.4 min
Step 15000/1000000 | t=1.50e+00 | T=14999.5 | a=1.000036 | H=2.41e-05 | 12.5 steps/s | 80.15 ms/step | ETA: 1315.7 min
Step 15100/1000000 | t=1.51e+00 | T=14999.5 | a=1.000036 | H=2.41e-05 | 12.5 steps/s | 80.13 ms/step | ETA: 1315.3 min
Step 15200/1000000 | t=1.52e+00 | T=14999.5 | a=1.000037 | H=2.41e-05 | 12.5 steps/s | 80.12 ms/step | ETA: 1315.0 min
Step 15300/1000000 | t=1.53e+00 | T=14999.4 | a=1.000037 | H=2.41e-05 | 12.5 steps/s | 80.10 ms/step | ETA: 1314.6 min
Step 15400/1000000 | t=1.54e+00 | T=14999.4 | a=1.000037 | H=2.41e-05 | 12.5 steps/s | 80.07 ms/step | ETA: 1313.9 min
Step 15500/1000000 | t=1.55e+00 | T=14999.4 | a=1.000037 | H=2.41e-05 | 12.5 steps/s | 80.03 ms/step | ETA: 1313.1 min
Step 15600/1000000 | t=1.56e+00 | T=14999.4 | a=1.000038 | H=2.41e-05 | 12.5 steps/s | 80.03 ms/step | ETA: 1313.0 min
Step 15700/1000000 | t=1.57e+00 | T=14999.4 | a=1.000038 | H=2.41e-05 | 12.5 steps/s | 80.09 ms/step | ETA: 1313.8 min
Step 15800/1000000 | t=1.58e+00 | T=14999.4 | a=1.000038 | H=2.41e-05 | 12.5 steps/s | 80.07 ms/step | ETA: 1313.4 min
Step 15900/1000000 | t=1.59e+00 | T=14999.4 | a=1.000038 | H=2.41e-05 | 12.5 steps/s | 80.03 ms/step | ETA: 1312.7 min
Step 16000/1000000 | t=1.60e+00 | T=14999.4 | a=1.000038 | H=2.41e-05 | 12.5 steps/s | 80.02 ms/step | ETA: 1312.4 min
Step 16100/1000000 | t=1.61e+00 | T=14999.4 | a=1.000039 | H=2.41e-05 | 12.5 steps/s | 79.99 ms/step | ETA: 1311.6 min
Step 16200/1000000 | t=1.62e+00 | T=14999.4 | a=1.000039 | H=2.41e-05 | 12.5 steps/s | 79.95 ms/step | ETA: 1310.9 min
Step 16300/1000000 | t=1.63e+00 | T=14999.4 | a=1.000039 | H=2.41e-05 | 12.5 steps/s | 79.91 ms/step | ETA: 1310.2 min
Step 16400/1000000 | t=1.64e+00 | T=14999.4 | a=1.000039 | H=2.41e-05 | 12.5 steps/s | 79.88 ms/step | ETA: 1309.6 min
Step 16500/1000000 | t=1.65e+00 | T=14999.4 | a=1.000040 | H=2.41e-05 | 12.5 steps/s | 79.85 ms/step | ETA: 1308.8 min
Step 16600/1000000 | t=1.66e+00 | T=14999.4 | a=1.000040 | H=2.41e-05 | 12.5 steps/s | 79.81 ms/step | ETA: 1308.1 min
Step 16700/1000000 | t=1.67e+00 | T=14999.4 | a=1.000040 | H=2.41e-05 | 12.5 steps/s | 79.79 ms/step | ETA: 1307.6 min
Step 16800/1000000 | t=1.68e+00 | T=14999.4 | a=1.000040 | H=2.41e-05 | 12.5 steps/s | 79.78 ms/step | ETA: 1307.4 min
