Step 21975/10000000000 | t=1.10e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 12.8 steps/s | 77.97 ms/step | ETA: 12994795.9 min
Step 21980/10000000000 | t=1.10e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 12.8 steps/s | 78.08 ms/step | ETA: 13013214.3 min
Step 21985/10000000000 | t=1.10e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 12.8 steps/s | 78.19 ms/step | ETA: 13031745.5 min
Step 21990/10000000000 | t=1.10e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 12.8 steps/s | 78.30 ms/step | ETA: 13049712.9 min
Step 21995/10000000000 | t=1.10e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 12.7 steps/s | 78.51 ms/step | ETA: 13084817.3 min
Step 22000/10000000000 | t=1.10e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 12.7 steps/s | 78.62 ms/step | ETA: 13103095.8 min
Step 22005/10000000000 | t=1.10e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 12.7 steps/s | 78.74 ms/step | ETA: 13122628.7 min
Step 22010/10000000000 | t=1.10e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 12.7 steps/s | 78.85 ms/step | ETA: 13141985.3 min
Step 22015/10000000000 | t=1.10e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 12.7 steps/s | 78.96 ms/step | ETA: 13160282.5 min
Step 22020/10000000000 | t=1.10e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 12.6 steps/s | 79.07 ms/step | ETA: 13178447.0 min
Step 22025/10000000000 | t=1.10e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 12.6 steps/s | 79.17 ms/step | ETA: 13195565.4 min
Step 22030/10000000000 | t=1.10e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 12.6 steps/s | 79.28 ms/step | ETA: 13213541.7 min
Step 22035/10000000000 | t=1.10e+00 | T=7369.8 | a=1.000027 | H=2.41e-05 | 12.6 steps/s | 79.39 ms/step | ETA: 13231729.8 min
